question,answer,movie_name
它 與 餐館 出售 的 雞翅 調味料 非常 相似 。,哦 ， 終於 叫 雞翅 了 。,Aloners
我 想 試試 看 ， 應該 會 很 好吃 。   。,領隊 咳嗽,Aloners
領隊 咳嗽,下 週 換新 的 吧,Aloners
下 週 換新 的 吧,啊 ？,Aloners
啊 ？,讓 我們 接受 新 的 訓練,Aloners
我 不 喜歡 它,哦 ， 是 的 ， 我 也 是,Aloners
哦 ， 是 的 ， 我 也 是,不 ， 因為 接到 電話 的 人   需要 接受 教育 。,Aloners
多 浪費,嘿 ， 孩子 們 繼續 離開,Aloners
不 ， 你 不 是 說 你 什麼 都 不 知道 了 ， 對 吧 ？,當然,Aloners
當然,您 在 執行 此 操作 時 獲得 教育 津貼 嗎 ？,Aloners
您 在 執行 此 操作 時 獲得 教育 津貼 嗎 ？,你 可以 少 接聽 電話,Aloners
我 更 願意 接聽 電話 。,但 我 無能為力,Aloners
但 我 無能為力,我 想 我 要 休息 了 ， 5 天 了,Aloners
我 想 我 要 休息 了 ， 5 天 了,放下 紙杯 ， 第一 天 ， 他 告訴 我 他 正在 接 電話,Aloners
在 剩下 的  4  天 裡 ， ， 給 我 一些 關於 接收 孩子 的 反饋 。,明白 嗎 ？,Aloners
明白 嗎 ？,呃 ？,Aloners
呃 ？,領隊 吹口哨,Aloners
領隊 吹口哨,手機 里 傳來 聲音,Aloners
門鎖 操作 音,門鎖 操作 音,Aloners
門鎖 操作 音,聽到 嘎吱嘎吱 的 聲音,Aloners
門鎖 操作 音,今天 ， 週末 ， 是 由於 氣壓 影響 。,Aloners
如果 您 正在 準備 郊遊 ， 請 攜帶 厚 衣服 。,鐵原郡 今早 零下 3 度 ， 拿起 手機,Aloners
即使 是 白天 ， 冷 風 也 很 大 … …,音頻 從 電視 中 傳出,Aloners
接近 的 腳步聲,鎮燮 咳嗽,Aloners
電視 電源 聲音,鎮燮 嘆息,Aloners
鎮燮 嘆息,平靜 的 音樂 響起 ， 哦 天 啊 ， 這 是 多少 藥丸,Aloners
平靜 的 音樂 響起 ， 哦 天 啊 ， 這 是 多少 藥丸,當 媽媽 給 你 一 瓶 水 時 ， 你 會 痊癒 。,Aloners
當 媽媽 給 你 一 瓶 水 時 ， 你 會 痊癒 。,她 離開 後,Aloners
她 離開 後,我 這 里 和 那裡 一直 在 受傷 和 疼痛,Aloners
我 這 里 和 那裡 一直 在 受傷 和 疼痛,我 不能 說話,Aloners
唷,你 媽 應該 活 得 比 我 長命,Aloners
你 媽 應該 活 得 比 我 長命,這 就 是 男人 變 老 之 故,Aloners
遙控 聲音 ， 強勁 的 音樂 播放,鎮燮 嘆息 ， 快速 音樂 播放,Aloners
鎮燮 嘆息 ， 快速 音樂 播放,發出 咯咯 的 聲音,Aloners
發出 咯咯 的 聲音,輕音樂 播放,Aloners
輕音樂 播放,門鈴 響起,Aloners
哦 ， 你 來 了,門咔噠 一 聲 打開,Aloners
是 的 ， 還 有 代表 身份證 複印件,點擊 次數 ， 鄭 律師 說,Aloners
哦 ， 你 很 忙 。,鄭 律師 顫抖,Aloners
鄭 律師 顫抖,那 好 吧,Aloners
那 好 吧,正 如 我 上 次 口頭 簡解釋 那樣 ，,Aloners
正 如 我 上 次 口頭 簡解釋 那樣 ，,這 是 死者 金喜子 的 遺囑 ， 在 他 還 活 著 的 時候 寫 的 。,Aloners
這 是 死者 金喜子 的 遺囑 ， 在 他 還 活 著 的 時候 寫 的 。,嘆氣   但是 ， 大約 廿 年 前 ， 我 父親 離開 了 家,Aloners
嘆氣   但是 ， 大約 廿 年 前 ， 我 父親 離開 了 家,呃 ， 你 經歷 了 正式 的 離婚 程序 。,Aloners
呃 ， 你 經歷 了 正式 的 離婚 程序 。,這 是 甚麼 ， 如果 你 遵守 法律 ， 那 個 女兒 . . . ...,Aloners
那裡 … …,17 年 前 ， 17 年 前 ， 是 的,Aloners
17 年 前 ， 17 年 前 ， 是 的,哦 ， 是 的 ， 那 個 … …,Aloners
哦 ， 是 的 ， 那 個 … …,那 個 ， 依法,Aloners
他 的 女兒 將 繼承 所有 遺產 。,他 從 去年 開始 又 和 父親 住 在一起 ，,Aloners
他 從 去年 開始 又 和 父親 住 在一起 ，,那 是 他 寫 遺產,Aloners
是 的 。 我 知道,那 ， 是 的 ， 那麼,Aloners
那 ， 是 的 ， 那麼,現在 ， 讓 我們 總結 一下,Aloners
現在 ， 讓 我們 總結 一下,呃 ， 已故 金熙子,Aloners
嗯 ， 就是 這樣,鄭 律師   你 女兒,Aloners
鄭 律師   你 女兒,只有 一 個 喲,Aloners
只有 一 個 喲,這裡,Aloners
這裡,鄭 律師 抽泣,Aloners
是,現在 結束 了 ， 對 吧 ？,Aloners
是 。,吉娜   你 辛苦 了 ， — — 進來 吧 。,Aloners
吉娜 ， 等一下,吉娜  一切 都 結束 了 ， 我 得到 了 所有 的 郵票,Aloners
吉娜  一切 都 結束 了 ， 我 得到 了 所有 的 郵票,你 確定 你 不 生氣 嗎 ？,Aloners
音頻 從 電視 中 傳出,SD卡 插入,Aloners
是 的 ， 等一下,門咔噠 一 聲 打開,Aloners
門咔噠 一 聲 打開,啊 ， 這裡,Aloners
啊 ， 這裡,鎮燮 在 視頻 中 哭泣,Aloners
音頻 從 電視 中 傳出,警報 不斷 響起,Aloners
警報 不斷 響起,吉娜 不 愉快 呻吟,Aloners
吉娜  哦 ， 是 保安室 嗎 ？,我 是 803 號 。,Aloners
我 是 803 號 。,我們 的 地板 上 有 什麼 東西 在 腐爛 。,Aloners
我們 的 地板 上 有 什麼 東西 在 腐爛 。,門咔噠 一 聲 打開,Aloners
有 咔嚓聲,喘 口 氣,Aloners
哦 你 好,秀珍   你 是 吉娜 嗎 ？,Aloners
秀珍   你 是 吉娜 嗎 ？,我 是 樸秀珍 … …,Aloners
我 是 樸秀珍 … …,你 在 嗎 ？,Aloners
吉娜   領隊 ， 我 真的 要 這樣 做 嗎 ？,我 說,Aloners
拉開 椅子 你 為什麼 現在 在 這裡 ？,吉娜   我 不能 ， 我 不會,Aloners
吉娜   我 不能 ， 我 不會,領隊 嘆息,Aloners
領隊 嘆息,扔 東西 那 你 就 別 幹 了,Aloners
扔 東西 那 你 就 別 幹 了,不要 大驚小怪 ， 按 你 說 的 做,Aloners
不要 大驚小怪 ， 按 你 說 的 做,敲 桌子 這 是 工作 ， 工作,Aloners
敲 桌子 這 是 工作 ， 工作,相反 ， 我 下 次 一定 會 把 它 拿出來 。,Aloners
只 做 你 所 教 的,我 知道 所有 的 東西,Aloners
我 知道 所有 的 東西,是 的,Aloners
是 的,鼠標 操作 音,Aloners
鼠標 操作 音,我 ， 前輩,Aloners
我 ， 前輩,我 會 做 得 很 好,Aloners
我 會 做 得 很 好,鼠標 操作音 ， 來電 鈴聲,Aloners
鼠標 操作音 ， 來電 鈴聲,我們 將 竭誠為 您 服務,Aloners
直到 昨天 還好 嗎 ？,是 的 ， 你 是,Aloners
你 是 說 你 不斷 收到 付款 錯誤 ？,限額 是 多少 ？,Aloners
限額 是 多少 ？,這 個 月 我 寫 的 不 多 。,Aloners
這 個 月 我 寫 的 不 多 。,是 的 ， 客戶,Aloners
是,是 的 ， 只 有 一 個 賬單 地址,Aloners
顧客  2  麻浦區 回佑亭路 39號,鼠標 操作 音,Aloners
鼠標 操作 音,是 的   確認,Aloners
是 的   確認,呃 ， 先生 ， 您 一定 很 不 舒服 。,Aloners
鼠標 操作 音,吉娜 敲擊 鍵盤,Aloners
吉娜 敲擊 鍵盤,吉娜 放下 耳機,Aloners
領隊 啊,我 著火 了,Aloners
亮 燈,嗯 嗯,Aloners
這 個 怎麼樣 ？,是 的,Aloners
是 的,門 緩緩 打開 ， 人們 吵鬧,Aloners
來 吃,好,Aloners
好,有趣 的 音樂 正在 播放 ， 嗯,Aloners
有趣 的 音樂 正在 播放 ， 嗯,手機 震動 聲,Aloners
手機 震動 聲,我 不要 速食 ！,Aloners
我 不要 速食 ！,手機 里 傳來 聲音,Aloners
手機 里 傳來 聲音,真的 很 好吃 ， 很 咸,Aloners
真的 很 好吃 ， 很 咸,視頻 中 的 女人 3 驚訝 地 呻吟,Aloners
視頻 中 的 女人 3 驚訝 地 呻吟,接近 的 腳步聲,Aloners
是 的 ， 客戶,放下 筆,Aloners
放下 筆,哦 ， 是 你 。,Aloners
哦 ， 是 你 。,是 的,Aloners
是 的,不 ， 告訴 我,Aloners
不 ， 告訴 我,吉娜 放下 咖啡 ， 哦 ， 我 ， 所以,Aloners
好 吧 ， 如果 我 回到 2002年 ， 我 可能 無法 使用 此 卡 ？,是 的 ， 客戶,Aloners
然後 您 還 不能 使用 該 卡 。,哦 ...,Aloners
哦 ...,那麼 走向 未來 呢 ？,Aloners
尚未 開發,啊 ， 真的,Aloners
啊 ， 真的,哦 ， 我 不能 帶 現金 ， 因為 它 很 重 。,Aloners
這 是 什麼 ， 不 是 輔導員 的 錯,好 的,Aloners
是 的 ， 沒關係 。,你 真的 很 善良 ， 吉娜 敲擊 鍵盤,Aloners
所以 ， 到 現在 為止 ， 我 還 是 吉娜 的 輔導員 。,通話 結束 音,Aloners
吉娜 敲擊 鍵盤,是 什麼 ， 就 這 個 人 ？,Aloners
是 什麼 ， 就 這 個 人 ？,秀珍   時間 旅行 ？,Aloners
那麼 ， 你 經常 接到 這樣 的 電話 嗎 ？,是 的,Aloners
是 的,像 那樣,Aloners
像 那樣,所以 我 該 怎麼 做 ？,Aloners
所以 我 該 怎麼 做 ？,點擊 鍵盤,Aloners
你 也 可以 做到,真的 ？,Aloners
真的 ？,操縱 鼠標 都 一樣,Aloners
點擊 鍵盤,哦 ， 原來如此 ， 你 打算 什麼 時候 離開 這裡 ？,Aloners
現在 調查 結束 了,哦 ， 但是 你 退出 也 進 不 去 。,Aloners
哦 ， 誰 在 裡面 ？,哇 ， 我 甚至 不 想 看到 一 張 粗糙 臉,Aloners
你 不能 來 上班 。,那 是 我 房,Aloners
那 是 我 房,小姐 ， 你 住 這裡 嗎 ？,Aloners
小姐 ， 你 住 這裡 嗎 ？,是 的,Aloners
你 認識 住在 那 個 房子 裡 的 單身漢 嗎 ？,不,Aloners
不,一點 也 不 ？,Aloners
一點 也 不 ？,我 只 知道 臉,Aloners
對 彼此 不 感興趣,不 對 ， 隔壁 的 人 是 怎麼 死 的 ？,Aloners
一 周 都 不 知道 ？,黑暗 音樂 ， 是 的 ？,Aloners
黑暗 音樂 ， 是 的 ？,我 今天 早上 也 看到 了,Aloners
那 …,據說 人 都 腐爛 了,Aloners
據說 人 都 腐爛 了,就 像 一 堆 裸體 女性 雜誌 一樣 堆積如山,Aloners
就 像 一 堆 裸體 女性 雜誌 一樣 堆積如山,我 想 它 是 放 在 那裡,Aloners
我 想 它 是 放 在 那裡,哇 ， 孩子 ， 我 現在 該 怎麼辦 ？,Aloners
哇 ， 孩子 ， 我 現在 該 怎麼辦 ？,離開 那裡 ， 我 勉強 維持 生計 。,Aloners
是 嗎 ？,你 現在 在 做 什麼 ？,Aloners
你 現在 在 做 什麼 ？,哦 ， 是 的 ， 請 稍 等,Aloners
哦 ， 是 的 ， 請 稍 等,顧客 的 嘆息  4,Aloners
甚 麽 ？,我 沒 告訴 你 ， ，   不,Aloners
我 沒 告訴 你 ， ，   不,放 在 監視器 上,Aloners
放 在 監視器 上,這 個 ， 這 個 ？,Aloners
艱難 的 呻吟,那邊,Aloners
是 的,我 稍後 給 你 回 電話,Aloners
我 很 忙,啊,Aloners
啊,是 的 我 明白 ， 通話 結束 音,Aloners
是 的 我 明白 ， 通話 結束 音,指向 監視器 ， 在 此 處 詢問 帳單 地址,Aloners
或者 您 可以 通過 此 處 詢問 付款 賬號 來 檢查 客戶,如果 你 不 想要 你 的 客戶 聽 你 說,Aloners
按下 此 處 彈出 的 靜音,是 的,Aloners
是 的,我 什麼 都 學會 了 ， 但 突然 ...,Aloners
我 什麼 都 學會 了 ， 但 突然 ...,輸入 諮詢 詳情,Aloners
輸入 諮詢 詳情,是 的,Aloners
秀珍 輕輕 遞上 文件,蘇進 敲擊 鍵盤,Aloners
蘇進 敲擊 鍵盤,重 音樂,Aloners
真雅 前輩,老年人,Aloners
老年人,秀珍   哦 ， 對不起,Aloners
我 一直 在 打電話 ， 但 你 沒 聽 。,我 可以 和 那 位 學長 共進 午餐 嗎 ？,Aloners
我 可以 和 那 位 學長 共進 午餐 嗎 ？,我 走 得 有點 遠,Aloners
沒關係,你 的 前輩 學長 每 天 都 這樣 一 個 人 吃 午飯 ？,Aloners
你 的 前輩 學長 每 天 都 這樣 一 個 人 吃 午飯 ？,是,Aloners
是,為甚麼 ？,Aloners
為甚麼 ？,我 一 個 人 很 舒服,Aloners
驚訝 真的 嗎 ？,我 可 不行,Aloners
我 可 不行,似乎 每 個 人 都 在 盯 著 我 看 。,Aloners
似乎 每 個 人 都 在 盯 著 我 看 。,你 有 朋友 嗎 ？ ， 嗯 ， 好像,Aloners
你 有 朋友 嗎 ？ ， 嗯 ， 好像,哦 ， 但是 我 有 很多 朋友 。,Aloners
都 在 春川,哦 ， 我 來自 春川,Aloners
我 前輩,我 接到 第一 個 電話 不 是 太 糟糕 了 嗎 ？,Aloners
我 接到 第一 個 電話 不 是 太 糟糕 了 嗎 ？,我 一直 很 困惑,Aloners
我 一直 很 困惑,收據 直接 出來,Aloners
輕音樂 播放 ， 門 緩緩 打開,門 輕輕 關上,Aloners
門 輕輕 關上,前輩 ， 有 位子,Aloners
電梯 到達 聲,電梯門 突然 關上,Aloners
嘆,手機 震動 聲,Aloners
秀珍   前輩,這 個,Aloners
這 個,這 是 蜂膠 噴霧 嗎 ？,Aloners
這 是 蜂膠 噴霧 嗎 ？,我 爸爸 把 它 寄給 我 說 它 對 我 的 脖子 有 好處 。,Aloners
我 爸爸 把 它 寄給 我 說 它 對 我 的 脖子 有 好處 。,直到 你 的 上級,Aloners
直到 你 的 上級,是 的 ， 我 會 寫,Aloners
是 的 ， 我 會 寫,這 個 ， 發出 咔噠聲,Aloners
我 就 是 這樣 噴 的 。,秀珍   試試 ‘ 啊 ’ 一 次,Aloners
秀珍   試試 ‘ 啊 ’ 一 次,哦 好,Aloners
只 說 一 次 啊,哦 ， 沒關係,Aloners
哦 ， 你 做 甚麼 ，,你 還好 嗎 ？,Aloners
嘆,吉娜   秀珍 ，   是 的,Aloners
吉娜   秀珍 ，   是 的,午飯 後 不要 跑,Aloners
午飯 後 不要 跑,吉娜 抓起 耳機,Aloners
素錦 咳嗽,鼠標 操作音 ， 來電 鈴聲,Aloners
鼠標 操作音 ， 來電 鈴聲,我們 將 竭誠為 您 服務,Aloners
嘿嘿 嘿 ， 幹 ， 搞定 了,耶 ？,Aloners
耶 ？,為什麼 我 不能 為 此 付款 ？,Aloners
為什麼 我 不能 為 此 付款 ？,呃 ？,Aloners
為什麼 刷卡 時 無法 付款 ？,是 的 ， 我 會 檢查 一 次 ， 然後 幫助 您 進行 諮詢 ， 鼠標 操作 音,Aloners
蛤 ？,甚麼 是 是 ？,Aloners
你 不 是 在 幫 我 ， 你 只是 在 做 你 的 工作 。,嘿 ， 你 在 開玩笑 嗎 ？,Aloners
你 新來 的,要 我 打斷 你 嗎 ？,Aloners
你 為什麼 不 說話 ？,嗯 ， 你 不 是 想 說 我 在 說 甚麼 嗎 ？,Aloners
嗯 ， 你 不 是 想 說 我 在 說 甚麼 嗎 ？,鼠標 操作音 ， 對不起,Aloners
客戶  5  你 好,你 好 ！,Aloners
你 好 ！,嘿 ， 你 現在 不 理 我 了 ？,Aloners
哦 ， 我 真 以為,先生 ， 您 一定 很 不 舒服 。,Aloners
我 的 意思 是 ， 一旦 你 看起來 很 有趣 ， 那 就 是 結束 它 。,是 的,Aloners
是 的,你 也 是 需要 警惕 。,Aloners
你 沒有 那 種 可能 會 被 切斷 的 危機感 ？,工作 時 飛行 載 人 和 在 我 身 上 就 有,Aloners
鼠標 操作 音,吉娜 嘆息,Aloners
它 發出 吱吱聲,但 這 有效 嗎 ？,Aloners
但 這 有效 嗎 ？,秀珍   是 的 ， 嗯 ， 看起來 好 多 了 。,Aloners
秀珍   是 的 ， 嗯 ， 看起來 好 多 了 。,你 住 在 哪裡 ？,Aloners
你 住 在 哪裡 ？,秀珍   我 不 知道,Aloners
我 爸爸 送 我 的,這裡,Aloners
吉娜,和 秀珍 一起 來到 面試室 。,Aloners
領隊 嘆息,我 以為 你們 兩 個 昨天 有 問題,Aloners
我 聽 了 錄音,秀珍 ？,Aloners
秀珍 ？,是,Aloners
是,以後 會 有 很多 這樣 古怪 電話 ， 知道 嗎 ？,Aloners
以後 會 有 很多 這樣 古怪 電話 ， 知道 嗎 ？,從 下 週 開始 ， 你 會 連 你 前輩 都 幫 不上 。,Aloners
從 下 週 開始 ， 你 會 連 你 前輩 都 幫 不上 。,我 會 努力 的,Aloners
我 會 努力 的,領隊 嗯 ， 努力 並 不 重要,Aloners
我 會 做好 。,在 這 種 情況 下 ， 您 應該 先 安裝 對不起 。,Aloners
為什麼 你 在 工作 的 時候 混合 了 你 的 情緒 和 你 的 真誠 ？,還 有 吉娜,Aloners
還 有 吉娜,馬上 出去,Aloners
馬上 出去,我 先 練習 自己 接 電話 。,Aloners
我 先 練習 自己 接 電話 。,是 的,Aloners
是 的,領隊 嘆息,Aloners
領隊 嘆息,門咔噠 一 聲 打開,Aloners
門咔噠 一 聲 打開,門咔 噠 一 聲 關上,Aloners
門咔 噠 一 聲 關上,他 成 了 射手 ， 所以 他 不 知道 他 是 個 初級 經理 ？,Aloners
他 成 了 射手 ， 所以 他 不 知道 他 是 個 初級 經理 ？,不 ， 我 只是 說 吉娜 沒有 接 電話 。,Aloners
敲 桌子 ， 它 不應該 是 什麼 。,我 在 做,Aloners
我 在 做,嘆氣 你 在 做 甚麼 ？,Aloners
嘆氣 你 在 做 甚麼 ？,你 看 不 出 他 很 緊張 嗎 ？,Aloners
你 看 不 出 他 很 緊張 嗎 ？,不 只 是 工作 ， 對 吧 ？,Aloners
照顧好 自己 的 心態 ， 敲 桌子,不 ， 事實 是 ， 如果 我 接到 幾 個 電話 驚喜 地 出門,Aloners
你 所 學 的 一切 都 消失 了 。,呃 ？ 你 在 聽 我 說 嗎,Aloners
呃 ？ 你 在 聽 我 說 嗎,我 也 在 做 同樣 的 事情,Aloners
我 也 在 做 同樣 的 事情,甚麼 ？,Aloners
甚麼 ？,隊長 在 做 和 我 射手 時 一樣 的 事情 。,Aloners
辦公室 很 忙 ， 哦 ， 是 的 ， 客戶 。,是 的 ， 一定 很 難,Aloners
是 的 ， 一定 很 難,是 的 ， 我 現在 檢查 了,Aloners
上 個 月 的 表現 欠佳 。,是 的 ， 一定 很 難,Aloners
是 的 ， 一定 很 難,哈 ， 做 ， 不要 只是 說 不,Aloners
想 辦法,是 的 ， 它 就 是 寫 在 我們 的 條款 ...,Aloners
我 是 大學 講師,現在 幾 年 我 一直 用 這 張 卡,Aloners
你 不 知道 嗎 ？,給 您 帶來 不便 ， 敬請 諒解 ， 顧客,Aloners
給 您 帶來 不便 ， 敬請 諒解 ， 顧客,哦 ， 因為 我 不 想 多 說 。,Aloners
看好 它   給 我 回電,我 所有 的 信息 都 在 那裡 ？,Aloners
我 所有 的 信息 都 在 那裡 ？,是 的 ， 我 會,Aloners
通話 結束 音,鼠標 操作 音,Aloners
鼠標 操作 音,秀珍 嘆息,Aloners
秀珍 嘆息,雞聲,Aloners
雞聲,蓋緊 蓋子 ， 咳嗽,Aloners
蓋緊 蓋子 ， 咳嗽,秀珍   前輩,Aloners
秀珍   前輩,對不起 昨天,Aloners
對不起 昨天,我 將來 會 做 得 很 好,Aloners
我 將來 會 做 得 很 好,鼠標 操作 音,Aloners
嘆,來電 鈴聲,Aloners
來電 鈴聲,嘆,Aloners
嘆,鎮燮 咳嗽,Aloners
寶貝 ， 你 怎麼 又 打來電話 了 ？,你 現在 在 幹什麼 ？,Aloners
你 現在 在 幹什麼 ？,鎮燮   你 在 做 甚麼 ， 我 告訴 過 你我 在 醫院,Aloners
說謊 …,嘆,Aloners
嘆,醫院 在 哪裡 ？,Aloners
醫院 在 哪裡 ？,嗯 ？,Aloners
嗯 ？,哦 ， 就 在 附近,Aloners
哦 ， 就 在 附近,沒 什麼 大不了 的 ， 所以 我 馬上 回家,Aloners
惱怒 呻吟,順便 說 一 句,Aloners
順便 說 一 句,這 週 你 不能 抽出 時間 嗎 ？,Aloners
這 週 你 不能 抽出 時間 嗎 ？,為什麼 ？,Aloners
為什麼 ？,鎮燮   你 媽媽 四十九 歲 了 。,Aloners
同 一 天 ， 牧師 也 決定 來 。,吉娜   你 要 一路 去 靈巖 嗎 ？,Aloners
吉娜   你 要 一路 去 靈巖 嗎 ？,鎮燮   不 ， 我 就 在 家 做 。,Aloners
我 只是 想 讓 購買 它 的 人 感到 舒服 。,鎮燮 嘆息,Aloners
鎮燮 嘆息,你 對不起 你 媽 嗎 ？,Aloners
你 對不起 你 媽 嗎 ？,黑暗 音樂,Aloners
請 再 說 一 遍 ？,鎮燮   我 對 你 葬禮 感到 驚訝,Aloners
鎮燮   我 對 你 葬禮 感到 驚訝,怎能 不 流 一 滴 淚 ？,Aloners
怎能 不 流 一 滴 淚 ？,多麼 棒 的 工作,Aloners
他 幾乎 沒有 回家 。,哦 ， 即使 我 一 個 人 死 在 這 間 屋子 裡,Aloners
你 不會 知道 很 長 一 段 時間,如果 不 是 我 ， 誰 會 在 臨終 前 保護 了 你 母親 ？,Aloners
如果 不 是 我 ， 誰 會 在 臨終 前 保護 了 你 母親 ？,不 是 因為 風 而 離開 家 的 人 會 說 。,Aloners
不 是 因為 風 而 離開 家 的 人 會 說 。,不 ， 你 為什麼 對 過去 的 一切 都 這樣 ？,Aloners
電梯門 突然 關上,成勳   不 ， 哥,Aloners
你 在 那裡 住 多久 ？,我 應該 結婚 ， 吸氣 然後 呼氣,Aloners
我 應該 結婚 ， 吸氣 然後 呼氣,呃 ？ 兄弟 ， 對不起 ， 我 給 你 回 電話 。,Aloners
敲 他 的 拐杖 嘿 ， 等一下 。,成勳 強烈 呻吟 ， 是 的 ？,Aloners
成勳 強烈 呻吟 ， 是 的 ？,尷尬 呻吟 ， 你 好,Aloners
尷尬 呻吟 ， 你 好,我 是 韓成勳 。,Aloners
我 是 韓成勳 。,你 住 在 這裡 嗎 ？,Aloners
你 住 在 這裡 嗎 ？,為甚麼 ？,Aloners
成勳   不 ， 這裡 的 房子 太 便宜 。,我 的 身體 處於 這 種 狀態 ， 但是 我 是 來 四處 看看 的 。,Aloners
我 的 身體 處於 這 種 狀態 ， 但是 我 是 來 四處 看看 的 。,在 這裡 簽 合同 我 真的 很 緊張 。,Aloners
在 這裡 簽 合同 我 真的 很 緊張 。,你 知道 嗎 ？,Aloners
你 知道 嗎 ？,這 房子 裡 有 鬼,Aloners
這 房子 裡 有 鬼,鳥叫聲,Aloners
鳥叫聲,啊 …,Aloners
啊 …,鬼,Aloners
鬼,哦 ， 有 鬼 所以 這裡 的 房子 很 便宜 。,Aloners
哦 ， 有 鬼 所以 這裡 的 房子 很 便宜 。,真的 ！,Aloners
真的 ！,我 就 說,Aloners
他 說 甚麼 ？,停頓,Aloners
停頓,如果 你 堅持 比賽 ， 分數 就 會 不同 。,Aloners
如果 你 堅持 比賽 ， 分數 就 會 不同 。,思考 呻吟,Aloners
思考 呻吟,成勳 笑,Aloners
成勳 笑,成勳   啊 對不起,Aloners
成勳   啊 對不起,打擾 一下,Aloners
打擾 一下,成勳 笑,Aloners
哦 ， 我 ， 對不起 ， 真的 ， 啊 ， 門鎖 操作 音,門鎖 操作音 ， 哦 真的 嗎,Aloners
